Typ ; Linje ; JourneyID ; Dagar ; JourneyIDRef
TÅG ; Västtågen ; 9015014132103178 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=908058%2F316005%2F86600%2F259387%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110004%26station_type%3Ddep%26format%3Djson%26"}
731 ; Buss 731 ; 9015014673100010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=591795%2F197685%2F557388%2F81433%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110008%26station_type%3Ddep%26format%3Djson%26"}
734 ; Buss 734 ; 9015014673400010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=3270%2F1572%2F158782%2F78305%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110015%26station_type%3Ddep%26format%3Djson%26"}
733 ; Buss 733 ; 9015014673300008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=34791%2F12050%2F215170%2F95988%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110014%26station_type%3Ddep%26format%3Djson%26"}
TÅG ; Öresundståg ; 9015030110120156 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=861657%2F288488%2F591632%2F8598%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110003%26station_type%3Ddep%26format%3Djson%26"}
732 ; Buss 732 ; 9015014673200008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=558456%2F186587%2F503590%2F65645%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110009%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100009 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=398043%2F135719%2F479624%2F107135%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110005%26station_type%3Ddep%26format%3Djson%26"}
1 ; Buss 1 ; 9015014675100010 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=232959%2F80703%2F381696%2F113197%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110011%26station_type%3Ddep%26format%3Djson%26"}
4 ; Buss 4 ; 9015014675400008 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=560295%2F189866%2F566860%2F96666%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110013%26station_type%3Ddep%26format%3Djson%26"}
720 ; Buss 720 ; 9015014672000009 ; måndag, tisdag, onsdag, torsdag, fredag ; {"ref":"https://api.vasttrafik.se/bin/rest.exe/v2/journeyDetail?ref=440238%2F155385%2F749544%2F228030%2F80%3Fdate%3D2018-03-05%26station_evaId%3D19110018%26station_type%3Ddep%26format%3Djson%26"}
